iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
0;23:06:45;23:06:45;23:06:46;;;23:06:46;23:06:46;23:06:51;23:06:51;23:06:51;23:06:51;23:06:51;23:06:58;23:06:58;23:06:59;23:06:59;23:07:00;23:07:00;23:07:05;23:07:05;;00:00:00;;00:00:05;00:00:05;00:00:00;00:00:07;00:00:00;00:00:00;00:00:05;00:00:20
1;23:07:05;23:07:05;23:07:06;23:07:06;23:07:06;23:07:06;23:07:06;23:07:11;23:07:11;23:07:11;23:07:11;23:07:11;23:07:19;23:07:19;23:07:19;23:07:19;23:07:20;23:07:20;23:07:25;23:07:25;;00:00:00;00:00:00;00:00:05;00:00:05;00:00:00;00:00:07;00:00:00;00:00:00;00:00:05;00:00:20
