iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
0;21:57:33;21:57:33;21:57:34;;;21:57:34;21:57:34;21:57:44;21:57:44;21:57:44;21:57:44;21:57:44;21:57:56;21:57:56;21:57:56;21:57:56;21:57:57;21:57:57;21:58:07;21:58:07;;00:00:00;;00:00:09;00:00:10;00:00:00;00:00:11;00:00:00;00:00:00;00:00:10;00:00:33
1;21:58:07;21:58:07;21:58:08;21:58:08;21:58:08;21:58:08;21:58:08;21:58:18;21:58:19;21:58:19;21:58:19;21:58:19;21:58:30;21:58:30;21:58:30;21:58:30;21:58:31;21:58:31;21:58:41;21:58:41;;00:00:00;00:00:00;00:00:09;00:00:10;00:00:00;00:00:10;00:00:00;00:00:00;00:00:10;00:00:33
