iteration;avg_executed;avg_worst;avg_average;avg_best
0;101.51740267879546;101.51740267879546;101.51740267879546;101.51740267879546
1;101.51740267879546;101.51740267879546;101.51740267879546;101.51740267879546
2;101.51740267879546;101.51740267879546;101.51740267879546;101.51740267879546
3;101.51740267879546;101.51740267879546;101.51740267879546;101.51740267879546
4;101.51740267879546;101.51740267879546;101.51740267879546;101.51740267879546
5;101.51740267879546;101.51740267879546;101.51740267879546;101.51740267879546
6;101.51740267879546;101.51740267879546;101.51740267879546;101.51740267879546
7;101.51740267879546;101.51740267879546;101.51740267879546;101.51740267879546
8;101.51740267879546;101.51740267879546;101.51740267879546;101.51740267879546
9;101.51740267879546;101.51740267879546;101.51740267879546;101.51740267879546
10;101.51740267879546;101.51740267879546;101.51740267879546;101.51740267879546
