iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
0;02:05:08;02:05:08;02:05:09;;;02:05:09;02:05:09;02:05:14;02:05:14;02:05:14;02:05:14;02:05:14;02:05:22;02:05:22;02:05:22;02:05:22;02:05:23;02:05:23;02:05:28;02:05:28;;00:00:01;;00:00:05;00:00:05;00:00:00;00:00:07;00:00:00;00:00:00;00:00:05;00:00:20
1;02:05:28;02:05:28;02:05:29;02:05:29;02:05:29;02:05:29;02:05:29;02:05:34;02:05:35;02:05:35;02:05:35;02:05:35;02:05:42;02:05:42;02:05:43;02:05:43;02:05:43;02:05:43;02:05:49;02:05:49;;00:00:00;00:00:00;00:00:05;00:00:05;00:00:00;00:00:07;00:00:00;00:00:00;00:00:05;00:00:20
