iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
0;20:04:54;20:04:54;20:04:55;;;20:04:55;20:04:55;20:05:02;20:05:02;20:05:02;20:05:02;20:05:02;20:05:14;20:05:14;20:05:14;20:05:14;20:05:15;20:05:15;20:05:25;20:05:25;;00:00:01;;00:00:07;00:00:07;00:00:00;00:00:11;00:00:00;00:00:00;00:00:10;00:00:31
1;20:05:25;20:05:25;20:05:26;20:05:26;20:05:26;20:05:26;20:05:26;20:05:34;20:05:34;20:05:34;20:05:34;20:05:34;20:05:45;20:05:45;20:05:46;20:05:46;20:05:46;20:05:46;20:05:57;20:05:57;;00:00:00;00:00:00;00:00:07;00:00:07;00:00:00;00:00:11;00:00:00;00:00:00;00:00:10;00:00:31
