iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
0;00:13:26;00:13:26;00:13:27;;;00:13:27;00:13:27;00:13:32;00:13:32;00:13:32;00:13:32;00:13:32;00:13:40;00:13:40;00:13:40;00:13:40;00:13:41;00:13:41;00:13:46;00:13:46;;00:00:01;;00:00:05;00:00:05;00:00:00;00:00:07;00:00:00;00:00:00;00:00:04;00:00:19
1;00:13:46;00:13:46;00:13:46;00:13:46;00:13:47;00:13:47;00:13:47;00:13:52;00:13:52;00:13:52;00:13:52;00:13:52;00:13:59;00:13:59;00:14:00;00:14:00;00:14:00;00:14:00;00:14:06;00:14:06;;00:00:00;00:00:00;00:00:05;00:00:05;00:00:00;00:00:07;00:00:00;00:00:00;00:00:05;00:00:20
