iteration;avg_executed;avg_worst;avg_average;avg_best
0;-4898.058721761127;-4898.058721761127;-4898.058721761127;-4898.058721761127
1;-4897.441273809419;-4925.849344212899;-4897.574766527595;-4869.300188842289
