iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
0;23:21:01;23:21:01;23:21:02;;;23:21:02;23:21:02;23:21:07;23:21:07;23:21:07;23:21:08;23:21:08;23:21:15;23:21:15;23:21:16;23:21:16;23:21:16;23:21:16;23:21:21;23:21:21;;00:00:01;;00:00:05;00:00:05;00:00:00;00:00:07;00:00:00;00:00:00;00:00:05;00:00:20
1;23:21:21;23:21:21;23:21:22;23:21:22;23:21:22;23:21:22;23:21:22;23:21:28;23:21:28;23:21:28;23:21:28;23:21:28;23:21:35;23:21:35;23:21:35;23:21:35;23:21:36;23:21:36;23:21:41;23:21:41;;00:00:00;00:00:00;00:00:05;00:00:05;00:00:00;00:00:06;00:00:00;00:00:00;00:00:05;00:00:19
