iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
0;05:11:12;05:11:12;05:11:13;;;05:11:13;05:11:13;05:11:19;05:11:19;05:11:19;05:11:19;05:11:19;05:11:31;05:11:31;05:11:31;05:11:31;05:11:32;05:11:32;05:11:41;05:11:41;;00:00:00;;00:00:06;00:00:06;00:00:00;00:00:11;00:00:00;00:00:00;00:00:09;00:00:28
1;05:11:41;05:11:41;05:11:41;05:11:41;05:11:42;05:11:42;05:11:42;05:11:49;05:11:49;05:11:49;05:11:49;05:11:49;05:11:59;05:11:59;05:11:59;05:11:59;05:12:00;05:12:00;05:12:09;05:12:09;;00:00:00;00:00:00;00:00:07;00:00:07;00:00:00;00:00:09;00:00:00;00:00:00;00:00:09;00:00:28
