iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
0;09:49:52;09:49:52;09:49:52;;;09:49:52;09:49:52;09:49:53;09:49:53;09:49:53;09:49:53;09:49:53;09:50:10;09:50:10;09:50:10;09:50:10;09:50:10;09:50:10;09:50:11;09:50:11;;00:00:00;;00:00:01;00:00:01;00:00:00;00:00:16;00:00:00;00:00:00;00:00:01;00:00:18
1;09:50:11;09:50:11;09:50:11;09:50:11;09:50:18;09:50:18;09:50:18;09:50:20;09:50:20;09:50:20;09:50:20;09:50:20;09:50:35;09:50:35;09:50:35;09:50:35;09:50:35;09:50:35;09:50:36;09:50:36;;00:00:00;00:00:07;00:00:01;00:00:01;00:00:00;00:00:15;00:00:00;00:00:00;00:00:00;00:00:24
