ITERATION;avg. Average Leg distance;avg. Average Trip distance
0;97390.41407167855;97390.41407167855
1;97433.31543538149;97433.31543538149
2;97177.71555693724;97177.71555693724
3;96844.28382217289;96844.28382217289
4;96586.04273518008;96586.04273518008
5;96326.23204891318;96326.23204891318
6;95982.33275015406;95982.33275015406
7;95713.36034030933;95713.36034030933
8;95598.75651374953;95598.75651374953
9;95313.09191743447;95313.09191743447
10;95165.94438768976;95165.94438768976
