iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
0;10:02:17;10:02:17;10:02:17;;;10:02:17;10:02:17;10:02:18;10:02:19;10:02:19;10:02:19;10:02:19;10:02:35;10:02:35;10:02:35;10:02:35;10:02:35;10:02:35;;;10:02:36;10:02:36;;00:00:00;;00:00:01;00:00:01;00:00:00;00:00:16;00:00:00;00:00:00;;00:00:01;00:00:18
1;10:02:36;10:02:36;10:02:36;10:02:36;10:02:44;10:02:44;10:02:44;10:02:45;10:02:45;10:02:45;10:02:45;10:02:45;10:02:57;10:02:57;10:02:57;10:02:57;10:02:57;10:02:57;;;10:02:58;10:02:58;;00:00:00;00:00:07;00:00:01;00:00:01;00:00:00;00:00:12;00:00:00;00:00:00;;00:00:00;00:00:21
2;10:02:58;10:02:58;10:02:58;10:02:58;10:03:06;10:03:06;;;10:03:06;10:03:06;10:03:06;10:03:06;10:03:18;10:03:18;10:03:18;10:03:18;10:03:18;10:03:18;;;10:03:18;10:03:18;;00:00:00;00:00:08;;00:00:00;00:00:00;00:00:11;00:00:00;00:00:00;;00:00:00;00:00:20
3;10:03:19;10:03:19;10:03:19;10:03:19;10:03:26;10:03:26;;;10:03:26;10:03:26;10:03:26;10:03:26;10:03:38;10:03:38;10:03:38;10:03:38;10:03:38;10:03:38;;;10:03:38;10:03:38;;00:00:00;00:00:07;;00:00:00;00:00:00;00:00:11;00:00:00;00:00:00;;00:00:00;00:00:19
4;10:03:38;10:03:38;10:03:38;10:03:38;10:03:47;10:03:47;;;10:03:47;10:03:47;10:03:47;10:03:47;10:03:59;10:03:59;10:03:59;10:03:59;10:03:59;10:03:59;;;10:03:59;10:03:59;;00:00:00;00:00:08;;00:00:00;00:00:00;00:00:12;00:00:00;00:00:00;;00:00:00;00:00:20
5;10:03:59;10:03:59;10:03:59;10:03:59;10:04:08;10:04:08;;;10:04:08;10:04:08;10:04:08;10:04:08;10:04:20;10:04:20;10:04:20;10:04:20;10:04:20;10:04:20;;;10:04:20;10:04:20;;00:00:00;00:00:08;;00:00:00;00:00:00;00:00:11;00:00:00;00:00:00;;00:00:00;00:00:20
6;10:04:20;10:04:20;10:04:20;10:04:20;10:04:28;10:04:28;;;10:10:01;10:10:01;10:10:02;10:10:02;10:10:14;10:10:14;10:10:14;10:10:14;10:10:14;10:10:14;;;10:10:14;10:10:14;;00:00:00;00:00:08;;00:05:33;00:00:00;00:00:12;00:00:00;00:00:00;;00:00:00;00:05:54
7;10:10:14;10:10:14;10:10:14;10:10:14;10:10:22;10:10:22;;;10:10:22;10:10:22;10:10:22;10:10:22;10:10:35;10:10:35;10:10:35;10:10:35;10:10:35;10:10:35;;;10:10:35;10:10:35;;00:00:00;00:00:07;;00:00:00;00:00:00;00:00:12;00:00:00;00:00:00;;00:00:00;00:00:20
8;10:10:35;10:10:35;10:10:35;10:10:35;10:10:44;10:10:44;;;10:10:44;10:10:44;10:10:44;10:10:44;10:10:56;10:10:56;10:10:56;10:10:56;10:10:56;10:10:56;;;10:10:57;10:10:57;;00:00:00;00:00:08;;00:00:00;00:00:00;00:00:12;00:00:00;00:00:00;;00:00:00;00:00:21
9;10:10:57;10:10:57;10:10:57;10:10:57;10:11:05;10:11:05;;;10:11:06;10:11:06;10:11:06;10:11:06;10:11:18;10:11:18;10:11:18;10:11:18;10:11:18;10:11:18;;;10:11:18;10:11:18;;00:00:00;00:00:08;;00:00:00;00:00:00;00:00:12;00:00:00;00:00:00;;00:00:00;00:00:21
10;10:11:18;10:11:18;10:11:18;10:11:18;10:11:26;10:11:26;;;10:11:26;10:11:26;10:11:26;10:11:26;10:11:41;10:11:41;10:11:41;10:11:41;10:11:41;10:11:41;10:11:41;10:11:41;10:11:42;10:11:42;;00:00:00;00:00:07;;00:00:00;00:00:00;00:00:14;00:00:00;00:00:00;00:00:00;00:00:00;00:00:23
